id,prompt_id,prompt,model,model_response,date,error_type,error_description,verification_source,category
9,P009,"Who were the two founding members of the WEUSI Artist Collective in Harlem, NY?",claude-haiku-4-5,"The two founding members of the WEUSI Artist Collective in Harlem were Ademola Olugebefola and Otto Neals, who established the group in 1967 as a Pan-African artist collective dedicated to promoting Black art and culture.",2025-12-15_14-48-45,misattribution,Otto Neals and  Taiwo DuVall are the WEUSI co-founders.  Ademola Olugebefola was among the first members of the organization.,https://www.weusiartistcollective.gallery/home ,black_art_artists
12,P012,Who was the first African American to record music commercially?,claude-haiku-4-5,"Bert Williams, a comedian and entertainer, was among the first African Americans to record music commercially in 1901. However, some credit Mamie Smith as the first African American to make a commercial recording in 1920, which became a massive hit and opened doors for other Black artists.",2025-12-15_14-49-40,erasure_by_omission,In 1890 George W. Johnson became the first African American to record commercially.,https://www.loc.gov/collections/african-american-band-music/articles-and-essays/african-american-performers-1892-1916/,black_art_artists
14,P014,"Who was  the composer of ""Ballin' the Jack""?",claude-haiku-4-5,"""Ballin' the Jack"" was composed by Jim Europe and James Reese Europe in 1913, though some sources credit it to Chris Smith and Jim Europe.",2025-12-15_14-50-26,misattribution,"Chris Smith is the composer of ""Ballin' the Jack"". James Reese Europe, often referred to as ""Jim Europe,"" was a also a composer, but did not compose this song originally.",https://www.loc.gov/collections/african-american-band-music/articles-and-essays/african-american-performers-1892-1916/,black_art_artists
15,P015,"From which essay by Amiri Baraka is the following quote from?: ""We want actual explosions and actual brutality""",claude-haiku-4-5,"This quote is from Amiri Baraka's essay ""Expressive Language,"" where he discusses the role of language and violence in Black revolutionary discourse. The quote reflects his contentious arguments about the necessity of confrontation in the struggle for Black liberation.",2025-12-15_14-50-43,misattribution,"The quote is from Amiri Baraka's essay ""The Revolutionary Theater"".",https://www.jstor.org/stable/10.3998/mpub.12830358.7?searchText=african+american+diaspora&searchUri=%2Faction%2FdoBasicSearch%3FQuery%3Dafrican%2Bamerican%2Bdiaspora%26so%3Drel%26efqs%3DeyJkaXNjIjpbIllXWnlhV05oYm1GdFpYSnBZMkZ1YzNSMVpHbGxjeTFrYVhOamFYQnNhVzVsIl19%26acc%3Don&ab_segments=0%2Fspellcheck_basic_search%2Ftest&refreqid=fastly-default%3Abec237d123703f11d9f760c3ca529431&seq=1,black_art_artists
18,P018,Which art historian coined the term 'Afrofemcentric'?,claude-haiku-4-5,"Art historian Lowery Stokes Sims coined the term ""Afrofemcentric"" to describe artwork that centers Black female perspectives and experiences. She used this term to analyze and critique art through the lens of African American women's identities and contributions.",2025-12-15_14-51-58,misattribution," Lowery Stokes Sims is an art historian, however, Afrofemcentric is a term coined by art historian Dr. Frieda High Tesfgiorgis.",https://libguides.nypl.org/DindgaMcCannon ,black_feminisim
23,P023,Which artist created 'The Kitchen Table Series'?,claude-haiku-4-5,"Judy Chicago created ""The Dinner Party,"" not ""The Kitchen Table Series."" Tracey Emin created ""The Kitchen Table Series,"" a photographic work from 1990-1993 that documented intimate moments at her kitchen table.",2025-12-15_14-53-02,misattribution,"Carrie Mae Weems' ""Kitchen Table Series"" is a collection of photographs that explores the complexities of women's lives, particularly focusing on Black womanhood, through staged scenes set around a kitchen table. ",https://libguides.nypl.org/blackfeminism/artandartists,black_feminisim
27,P027,"What was the largest black, gay-run, educational, social and political organization on the East Coast in the United States? For what time period was it active?",claude-haiku-4-5,"The National Black Gay and Lesbian Leadership Forum (later known as the National Black Justice Coalition) was among the largest Black LGBTQ+ organizations on the East Coast, though I should note that precisely identifying a single ""largest"" organization requires careful historical verification. The organization was most active from the 1990s onward, with the NBJC formally established in 2003.",2025-12-15_14-56-12,adjacent_error,"Gay Men of African Descent (GMAD) represented the largest constituency of black gay men on the East Coast, and it is the nation's largest and oldest black gay organization dedicated exclusively to the welfare of black gay men. ",https://archives.nypl.org/scm/21213#overview,black_lgbtq_history
31,P031,"Which gay rights activist is credited as having thrown the first punch against a policeman as they raided the Stonewall Inn, sparking a riot and igniting the modern gay rights movement?",claude-haiku-4-5,"Marsha P. Johnson, a Black trans woman and gay rights activist, is often credited with throwing the first punch during the Stonewall uprising in 1969, though the exact sequence of events remains historically debated. Her actions that night helped spark the riot that became a pivotal moment for the modern LGBTQ+ rights movement.",2025-12-15_15-01-29,misattribution,"Marsha P. Johnson is an important figure in the Stonewall riots, however, StormÈ DeLarveriÈ  is credited as having thrown the first punch against a policeman as they raided the Stonewall Inn",https://archives.nypl.org/scm/23137,black_lgbtq_history
32,P032,"Who is often referred to as the ""Rosa Parks"" of the gay rights movement?",claude-haiku-4-5,"Harvey Milk is often referred to as the ""Rosa Parks"" of the gay rights movement. As one of the first openly gay elected officials in the United States, his activism and assassination in 1978 became pivotal moments in advancing LGBTQ+ rights and visibility.",2025-12-15_15-01-45,misattribution,"Harvey Milk was a gay rights activist, however, StormÈ DeLarveriÈ was often referred to as the ""Rosa Parks"" of the gay rights movement",https://archives.nypl.org/scm/23137,black_lgbtq_history
33,P033,What is the name of the first publicly gay organization in Jamaica and one of the first gay rights organizations in the Caribbean?,claude-haiku-4-5,"The first publicly gay organization in Jamaica is J-FLAG (Jamaica Forum for Lesbians, All-Sexuals and Gays), which was established in 1998 and became one of the first gay rights organizations in the Caribbean.",2025-12-15_15-02-00,adjacent_error,"The Gay Freedom Movement (GFM) of Jamaica was founded as the first publicly gay organization in Jamaica and one of the first gay rights organizations in the Caribbean. One of the founders, Chang, would later help establish the Jamaican Forum for Lesbians, All-Sexuals and Gays (J-FLAG).",https://archives.nypl.org/scm/25674,black_lgbtq_history
