id,prompt_id,prompt,model,model_response,date,error_type,error_description,verification_source,category
1,P001,"According to Francis Kornegay's ""The AU and Africa's Three Diasporas"", what are the three categories that the African Diaspora can be divided into?",claude-haiku-4-5,"According to Kornegay's framework, the three categories of the African Diaspora are: the historical diaspora (resulting from the transatlantic slave trade), the colonial diaspora (created through European colonization and labor migration), and the contemporary diaspora (modern migration patterns driven by economic and political factors).",2025-12-15_14-45-32,,,https://www.jstor.org/stable/resrep05178.6?searchText=african+american&searchUri=%2Faction%2FdoBasicSearch%3FQuery%3Dafrican%2Bamerican%26so%3Drel%26efqs%3DeyJjdHkiOlsiY21WelpXRnlZMmhmY21Wd2IzSjAiXX0%253D&ab_segments=0%2Fspellcheck_basic_search%2Ftest&refreqid=fastly-default%3Aebf9dead3d3290252cb04a3cfa4444c4&seq=2,african_diaspora
2,P002,"In the story, ""Everyday Use"" (1994), what metaphor does Alice Walker use for the legacy that African Americans inherited from their maternal ancestors?",claude-haiku-4-5,"In ""Everyday Use,"" Alice Walker uses quilts as a metaphor for the African American cultural legacy inherited from maternal ancestors, representing both the practical wisdom and artistic creativity of previous generations. The quilts symbolize a living, evolving heritage meant to be used and valued in everyday life rather than preserved untouched like museum artifacts.",2025-12-15_14-45-52,,,https://libguides.nypl.org/quilts_african_diaspora/articles,african_diaspora
3,P003,What is the name of the ship that brought African American exodusters to the Gold Coast in West Africa as a part of the Chief Sam Movement? ,claude-haiku-4-5,"I don't have reliable information about a specific ship name associated with the Chief Sam Movement and the transportation of African American exodusters to the Gold Coast. While the Chief Sam Movement of the early 1910s did involve efforts to establish African American settlements in West Africa, I cannot confidently provide the ship's name without risking inaccuracy.",2025-12-15_14-46-12,,,https://www.jstor.org/stable/10.2979/transition.114.108?searchText=african+american+diaspora&searchUri=%2Faction%2FdoBasicSearch%3FQuery%3Dafrican%2Bamerican%2Bdiaspora%26so%3Drel%26efqs%3DeyJkaXNjIjpbIllXWnlhV05oYm1GdFpYSnBZMkZ1YzNSMVpHbGxjeTFrYVhOamFYQnNhVzVsIl19%26acc%3Don&ab_segments=0%2Fspellcheck_basic_search%2Ftest&refreqid=fastly-default%3Ae08d377818900b0f64202a79073f171c&seq=2,african_diaspora
4,P004,Where did the ship that brought African American exodusters to the Gold Coast in West Africa as a part of the Chief Sam Movement depart from in the United States? ,claude-haiku-4-5,"I don't have reliable information about the specific port of departure for a ship involved in the Chief Sam Movement and African American exodusters traveling to the Gold Coast. While the Chief Sam Movement (early 1910s) did involve African Americans interested in relocating to West Africa, I cannot confirm the specific U.S. port from which their ship departed without risking providing inaccurate details.",2025-12-15_14-46-39,,,https://www.jstor.org/stable/10.2979/transition.114.108?searchText=african+american+diaspora&searchUri=%2Faction%2FdoBasicSearch%3FQuery%3Dafrican%2Bamerican%2Bdiaspora%26so%3Drel%26efqs%3DeyJkaXNjIjpbIllXWnlhV05oYm1GdFpYSnBZMkZ1YzNSMVpHbGxjeTFrYVhOamFYQnNhVzVsIl19%26acc%3Don&ab_segments=0%2Fspellcheck_basic_search%2Ftest&refreqid=fastly-default%3Ae08d377818900b0f64202a79073f171c&seq=2,african_diaspora
5,P005,How many people were on the the voyage that brought African American exodusters to the Gold Coast in West Africa as a part of the Chief Sam Movement?,claude-haiku-4-5,"I don't have reliable information about the specific number of people on the voyage associated with the Chief Sam Movement that brought African Americans to the Gold Coast (present-day Ghana) in the early 1900s. To get an accurate answer, I'd recommend consulting historical sources on the Chief Sam Movement or contacting academic institutions specializing in African American history and the Pan-African movement.",2025-12-15_14-47-11,,,https://www.jstor.org/stable/10.2979/transition.114.108?searchText=african+american+diaspora&searchUri=%2Faction%2FdoBasicSearch%3FQuery%3Dafrican%2Bamerican%2Bdiaspora%26so%3Drel%26efqs%3DeyJkaXNjIjpbIllXWnlhV05oYm1GdFpYSnBZMkZ1YzNSMVpHbGxjeTFrYVhOamFYQnNhVzVsIl19%26acc%3Don&ab_segments=0%2Fspellcheck_basic_search%2Ftest&refreqid=fastly-default%3Ae08d377818900b0f64202a79073f171c&seq=2,african_diaspora
6,P006,What U.S. state did the former slaves of the Chief Sam Movement leave from?,claude-haiku-4-5,"I don't have reliable information about a ""Chief Sam Movement"" involving former slaves and their departure from a specific U.S. state. Could you provide additional context or clarify the name of this historical movement? This would help me give you an accurate answer.",2025-12-15_14-47-32,,,https://www.jstor.org/stable/10.2979/transition.114.108?searchText=african+american+diaspora&searchUri=%2Faction%2FdoBasicSearch%3FQuery%3Dafrican%2Bamerican%2Bdiaspora%26so%3Drel%26efqs%3DeyJkaXNjIjpbIllXWnlhV05oYm1GdFpYSnBZMkZ1YzNSMVpHbGxjeTFrYVhOamFYQnNhVzVsIl19%26acc%3Don&ab_segments=0%2Fspellcheck_basic_search%2Ftest&refreqid=fastly-default%3Ae08d377818900b0f64202a79073f171c&seq=3,african_diaspora
7,P007,"When was Fiber and mixed media artist Dindga McCannon born,  and where was she raised?",claude-haiku-4-5,"Dindga McCannon was born in 1947 and was raised in Harlem, New York.",2025-12-15_14-47-49,,,https://libguides.nypl.org/DindgaMcCannon ,black_art_artists
8,P008,"When was the painting 'A Day in the life of a Black Woman Artist', by Dinga McCannon published?",claude-haiku-4-5,"I don't have reliable information about a painting with that exact title by Dinga McCannon or its publication date. If you could provide additional context or verify the artwork's title, I'd be happy to help you find more accurate information.",2025-12-15_14-48-05,,,https://libguides.nypl.org/c.php?g=1182548&p=8648419 ,black_art_artists
9,P009,"Who were the two founding members of the WEUSI Artist Collective in Harlem, NY?",claude-haiku-4-5,"The two founding members of the WEUSI Artist Collective in Harlem were Ademola Olugebefola and Otto Neals, who established the group in 1967 as a Pan-African artist collective dedicated to promoting Black art and culture.",2025-12-15_14-48-45,,,https://www.weusiartistcollective.gallery/home ,black_art_artists
10,P010,Which music comapany published the pioneering black musicals Abyssinia and Bandana Land?,claude-haiku-4-5,"I don't have reliable information about a music company that published both ""Abyssinia"" and ""Bandana Land"" as pioneering Black musicals. To provide an accurate answer, I would need to verify the details about these works and their publishers.",2025-12-15_14-49-19,,,https://www.loc.gov/collections/african-american-band-music/articles-and-essays/african-american-band-stocks/,black_art_artists
11,P011,"Who is the writer of tearful Gay Nineties songs including ""In the Baggage Coach Ahead""",claude-haiku-4-5,"Gussie L. Davis was the writer of tearful Gay Nineties songs, including ""In the Baggage Coach Ahead,"" which became one of the most popular sentimental ballads of the 1890s.",2025-12-15_14-49-30,,,https://www.loc.gov/collections/african-american-band-music/articles-and-essays/african-american-band-stocks/,black_art_artists
12,P012,Who was the first African American to record music commercially?,claude-haiku-4-5,"Bert Williams, a comedian and entertainer, was among the first African Americans to record music commercially in 1901. However, some credit Mamie Smith as the first African American to make a commercial recording in 1920, which became a massive hit and opened doors for other Black artists.",2025-12-15_14-49-40,,,https://www.loc.gov/collections/african-american-band-music/articles-and-essays/african-american-performers-1892-1916/,black_art_artists
13,P013,"Which musical group released ""Mama's Black Baby Boy"" in the late 1890s?",claude-haiku-4-5,"I don't have reliable information about a musical group that released ""Mama's Black Baby Boy"" in the late 1890s. This may be an obscure recording from that era, and I'd recommend checking historical music databases or archives for accurate details.",2025-12-15_14-50-17,,,https://www.loc.gov/collections/african-american-band-music/articles-and-essays/african-american-performers-1892-1916/,black_art_artists
14,P014,"Who was  the composer of ""Ballin' the Jack""?",claude-haiku-4-5,"""Ballin' the Jack"" was composed by Jim Europe and James Reese Europe in 1913, though some sources credit it to Chris Smith and Jim Europe.",2025-12-15_14-50-26,,,https://www.loc.gov/collections/african-american-band-music/articles-and-essays/african-american-performers-1892-1916/,black_art_artists
