prompt_id,prompt,category,source,source_link
P001,"According to Francis Kornegay's ""The AU and Africa's Three Diasporas"", what are the three categories that the African Diaspora can be divided into?",african_diaspora,JSTOR,https://www.jstor.org/stable/resrep05178.6?searchText=african+american&searchUri=%2Faction%2FdoBasicSearch%3FQuery%3Dafrican%2Bamerican%26so%3Drel%26efqs%3DeyJjdHkiOlsiY21WelpXRnlZMmhmY21Wd2IzSjAiXX0%253D&ab_segments=0%2Fspellcheck_basic_search%2Ftest&refreqid=fastly-default%3Aebf9dead3d3290252cb04a3cfa4444c4&seq=2
P002,"In the story, ""Everyday Use"" (1994), what metaphor does Alice Walker use for the legacy that African Americans inherited from their maternal ancestors?",african_diaspora,Schomburg Center for Research in Black Culture,https://libguides.nypl.org/quilts_african_diaspora/articles
P003,What is the name of the ship that brought African American exodusters to the Gold Coast in West Africa as a part of the Chief Sam Movement? ,african_diaspora,Library of Congress,https://www.jstor.org/stable/10.2979/transition.114.108?searchText=african+american+diaspora&searchUri=%2Faction%2FdoBasicSearch%3FQuery%3Dafrican%2Bamerican%2Bdiaspora%26so%3Drel%26efqs%3DeyJkaXNjIjpbIllXWnlhV05oYm1GdFpYSnBZMkZ1YzNSMVpHbGxjeTFrYVhOamFYQnNhVzVsIl19%26acc%3Don&ab_segments=0%2Fspellcheck_basic_search%2Ftest&refreqid=fastly-default%3Ae08d377818900b0f64202a79073f171c&seq=2
P004,Where did the ship that brought African American exodusters to the Gold Coast in West Africa as a part of the Chief Sam Movement depart from in the United States? ,african_diaspora,Library of Congress,https://www.jstor.org/stable/10.2979/transition.114.108?searchText=african+american+diaspora&searchUri=%2Faction%2FdoBasicSearch%3FQuery%3Dafrican%2Bamerican%2Bdiaspora%26so%3Drel%26efqs%3DeyJkaXNjIjpbIllXWnlhV05oYm1GdFpYSnBZMkZ1YzNSMVpHbGxjeTFrYVhOamFYQnNhVzVsIl19%26acc%3Don&ab_segments=0%2Fspellcheck_basic_search%2Ftest&refreqid=fastly-default%3Ae08d377818900b0f64202a79073f171c&seq=2
P005,How many people were on the the voyage that brought African American exodusters to the Gold Coast in West Africa as a part of the Chief Sam Movement?,african_diaspora,Library of Congress,https://www.jstor.org/stable/10.2979/transition.114.108?searchText=african+american+diaspora&searchUri=%2Faction%2FdoBasicSearch%3FQuery%3Dafrican%2Bamerican%2Bdiaspora%26so%3Drel%26efqs%3DeyJkaXNjIjpbIllXWnlhV05oYm1GdFpYSnBZMkZ1YzNSMVpHbGxjeTFrYVhOamFYQnNhVzVsIl19%26acc%3Don&ab_segments=0%2Fspellcheck_basic_search%2Ftest&refreqid=fastly-default%3Ae08d377818900b0f64202a79073f171c&seq=2
P006,What U.S. state did the former slaves of the Chief Sam Movement leave from?,african_diaspora,Library of Congress,https://www.jstor.org/stable/10.2979/transition.114.108?searchText=african+american+diaspora&searchUri=%2Faction%2FdoBasicSearch%3FQuery%3Dafrican%2Bamerican%2Bdiaspora%26so%3Drel%26efqs%3DeyJkaXNjIjpbIllXWnlhV05oYm1GdFpYSnBZMkZ1YzNSMVpHbGxjeTFrYVhOamFYQnNhVzVsIl19%26acc%3Don&ab_segments=0%2Fspellcheck_basic_search%2Ftest&refreqid=fastly-default%3Ae08d377818900b0f64202a79073f171c&seq=3
P007,"When was Fiber and mixed media artist Dindga McCannon born,  and where was she raised?",black_art_artists,Schomburg Center for Research in Black Culture,https://libguides.nypl.org/DindgaMcCannon 
P008,"When was the painting 'A Day in the life of a Black Woman Artist', by Dinga McCannon published?",black_art_artists,Schomburg Center for Research in Black Culture,https://libguides.nypl.org/c.php?g=1182548&p=8648419 
P009,"Who were the two founding members of the WEUSI Artist Collective in Harlem, NY?",black_art_artists,Schomburg Center for Research in Black Culture,https://www.weusiartistcollective.gallery/home 
P010,Which music comapany published the pioneering black musicals Abyssinia and Bandana Land?,black_art_artists,Library of Congress,https://www.loc.gov/collections/african-american-band-music/articles-and-essays/african-american-band-stocks/
P011,"Who is the writer of tearful Gay Nineties songs including ""In the Baggage Coach Ahead""",black_art_artists,Library of Congress,https://www.loc.gov/collections/african-american-band-music/articles-and-essays/african-american-band-stocks/
P012,Who was the first African American to record music commercially?,black_art_artists,Library of Congress,https://www.loc.gov/collections/african-american-band-music/articles-and-essays/african-american-performers-1892-1916/
P013,"Which musical group released ""Mama's Black Baby Boy"" in the late 1890s?",black_art_artists,Library of Congress,https://www.loc.gov/collections/african-american-band-music/articles-and-essays/african-american-performers-1892-1916/
P014,"Who was  the composer of ""Ballin' the Jack""?",black_art_artists,Library of Congress,https://www.loc.gov/collections/african-american-band-music/articles-and-essays/african-american-performers-1892-1916/
P015,"From which essay by Amiri Baraka is the following quote from?: ""We want actual explosions and actual brutality""",black_art_artists,Library of Congress,https://www.jstor.org/stable/10.3998/mpub.12830358.7?searchText=african+american+diaspora&searchUri=%2Faction%2FdoBasicSearch%3FQuery%3Dafrican%2Bamerican%2Bdiaspora%26so%3Drel%26efqs%3DeyJkaXNjIjpbIllXWnlhV05oYm1GdFpYSnBZMkZ1YzNSMVpHbGxjeTFrYVhOamFYQnNhVzVsIl19%26acc%3Don&ab_segments=0%2Fspellcheck_basic_search%2Ftest&refreqid=fastly-default%3Abec237d123703f11d9f760c3ca529431&seq=1
P016,"By 1942, who was the Artistic Director for the Friendship Press controlling every aspect of the Press’s book productions?",black_art_artists,Amistad Research Center,https://www.amistadresearchcenter.org/blog/50-years-50-collections-louise-jefferson-illustrator-and-photographer
P017,"Which ragtime artist has a song titled, “All Coons Look Alike to Me”?",black_art_artists,Amistad Research Center,https://www.amistadresearchcenter.org/blog/50-years-50-collections-black-stereotypes-in-janette-faulkners-ethnic-notions-sheet-music-collection
P018,Which art historian coined the term 'Afrofemcentric'?,black_feminisim,Schomburg Center for Research in Black Culture,https://libguides.nypl.org/DindgaMcCannon 
P019,What does the term 'Afrofemcentric' mean?,black_feminisim,Schomburg Center for Research in Black Culture,https://libguides.nypl.org/DindgaMcCannon 
P020,"Who said the following quote?: “There was one of two things I had a right to: liberty or death. If I could not have one, I would take the other, for no man should take me alive. I should fight for liberty as long as my strength lasted.”",black_feminisim,Schomburg Center for Research in Black Culture,https://libguides.nypl.org/blackfeminism
P021,"Who is known for this quote?: ""I am a Black Feminist. I mean I recognize that my power as well as my primary oppressions come as a result of my blackness as well as my womaness, and therefore my struggles on both of these fronts are inseparable.""",black_feminisim,Schomburg Center for Research in Black Culture,https://libguides.nypl.org/blackfeminism
P022,"Where is this quote from?: ""Above all else, Our politics initially sprang from the shared belief that Black women are inherently valuable, that our liberation is a necessity not as an adjunct to somebody else's but because of our need as human persons for autonomy.""",black_feminisim,Schomburg Center for Research in Black Culture,https://libguides.nypl.org/blackfeminism
P023,Which artist created 'The Kitchen Table Series'?,black_feminisim,Schomburg Center for Research in Black Culture,https://libguides.nypl.org/blackfeminism/artandartists
P024,"In, 1884 who became chairperson for the Women’s Executive Committee of the Board of Missions for Freedman?",black_feminisim,Amistad Research Center,https://www.amistadresearchcenter.org/blog/50-years-50-collections-the-mary-allen-college-records-1929-1977
P025,Who was the  first female Black president of Mary Allen College?,black_feminisim,Amistad Research Center,https://www.amistadresearchcenter.org/blog/50-years-50-collections-the-mary-allen-college-records-1929-1977
P026,"Who was the principal at Valena C. Jones Elementary and Normal Schools in New Orleans, Louisiana from about 1921-1954?",black_feminisim,Amistad Research Center,https://www.amistadresearchcenter.org/blog/nola4women-fannie-c-williams-and-new-orleans-education
P027,"What was the largest black, gay-run, educational, social and political organization on the East Coast in the United States? For what time period was it active?",black_lgbtq_history,Library of Congress,https://archives.nypl.org/scm/21213#overview
P028,For what time period was the organization Gay Men of African Descent (GMAD) active?,black_lgbtq_history,Library of Congress,https://archives.nypl.org/scm/21213#overview
P029,Which author entered into an agreement with the National Lesbian and Gay Health Association (NLGHA) to produce the Gay Men's Wellness Guide (1997)?,black_lgbtq_history,Schomburg Center for Research in Black Culture,https://archives.nypl.org/scm/21214#controlaccess
P030,"Whose articles, novels, and screenplays (both published and unpublished) include City of the Century, Gray Was Comfort, It's How You Sign It, and Sex Is Easy?",black_lgbtq_history,Schomburg Center for Research in Black Culture,https://archives.nypl.org/scm/21214#controlaccess
P031,"Which gay rights activist is credited as having thrown the first punch against a policeman as they raided the Stonewall Inn, sparking a riot and igniting the modern gay rights movement?",black_lgbtq_history,Schomburg Center for Research in Black Culture,https://archives.nypl.org/scm/23137
P032,"Who is often referred to as the ""Rosa Parks"" of the gay rights movement?",black_lgbtq_history,Schomburg Center for Research in Black Culture,https://archives.nypl.org/scm/23137
P033,What is the name of the first publicly gay organization in Jamaica and one of the first gay rights organizations in the Caribbean?,black_lgbtq_history,Schomburg Center for Research in Black Culture,https://archives.nypl.org/scm/25674
P034,Names of the six people who founded the first publicly gay organization in Jamaica and one of the first gay rights organizations in the Caribbean?,black_lgbtq_history,Schomburg Center for Research in Black Culture,https://archives.nypl.org/scm/25674
P035,What year was the first publicly gay organization in Jamaica and one of the first gay rights organizations in the Caribbean founded?,black_lgbtq_history,Schomburg Center for Research in Black Culture,https://archives.nypl.org/scm/25674
P036,What was the name of the newsletter created to address the needs and issues of the local gay community in Jamaica and subscribers from around the world?,black_lgbtq_history,Schomburg Center for Research in Black Culture,https://archives.nypl.org/scm/25674
P037,Who attended the 1980 Democratic National Convention as the first openly gay delegate from Texas?,black_lgbtq_history,Amistad Research Center,https://www.amistadresearchcenter.org/blog/50-years-50-collections-larry-bagneris-and-the-double-fight-for-civil-lgbtq-rights
P038,Who protested  Jim Crow policies of segregation by staging sit-ins at department stores while a student at St. Augustine High School?,black_lgbtq_history,Amistad Research Center,https://www.amistadresearchcenter.org/blog/50-years-50-collections-larry-bagneris-and-the-double-fight-for-civil-lgbtq-rights
P039,The Freedmen's Bureau is the commonly known name for which organization? ,historical_institutions_organizations,Library of Congress,https://www.loc.gov/collections/african-american-perspectives-rare-books/articles-and-essays/abolition-and-slavery/ 
P040,Why was The Freedmen's Bureau created?,historical_institutions_organizations,Library of Congress,https://www.loc.gov/collections/african-american-perspectives-rare-books/articles-and-essays/abolition-and-slavery/ 
P041,Which organization was formed in 1817 to send free African-Americans to Africa as an alternative to emancipation in the United States?,historical_institutions_organizations,Library of Congress,https://www.loc.gov/exhibits/african/afam002.html
P042,Which organization absorbed the Union military banks set up for African-American troops during the Civil War? What other organization was it sponsored by?,historical_institutions_organizations,Library of Congress,https://www.loc.gov/collections/african-american-perspectives-rare-books/articles-and-essays/politics-and-government/
P043,"Which active agent in the American Anti-Slavery Society founded the Colver Institute in 1867, and why?",historical_institutions_organizations,Library of Congress,https://www.loc.gov/collections/african-american-perspectives-rare-books/articles-and-essays/religion-and-the-church/
P044,"In the years following the Civil War, which group was founded by Presbyterians to teach African Americans the Gospel?",historical_institutions_organizations,Library of Congress,https://www.loc.gov/collections/african-american-perspectives-rare-books/articles-and-essays/religion-and-the-church/
P045,In which year did Mary Allen College open its doors to Crockett’s Black male student population?,historical_institutions_organizations,Amistad Research Center,https://www.amistadresearchcenter.org/blog/50-years-50-collections-the-mary-allen-college-records-1929-1977
P046,Where was Samuel Coles sent by the American Board of Congregational Christian Churches as an accredited missionary to help with a newly established mission?,historical_institutions_organizations,Amistad Research Center,https://www.amistadresearchcenter.org/blog/50-years-50-collections-samuel-b-coles-an-alabama-son-in-africa
P047,"In 1977, why did the NAACP sued the department of Health, Education, and Welfare?",historical_institutions_organizations,Amistad Research Center,https://www.amistadresearchcenter.org/blog/higher-education-and-the-black-community-the-james-e-blackwell-papers
P048,"Who founded the National Negro Council, a political lobbying group?",historical_institutions_organizations,Amistad Research Center,https://www.amistadresearchcenter.org/blog/edgar-g-brown-lobbyist-union-president-and-tennis-champion
P049,"Who is the author of  'The Crime of Crimes, or the Convict System Unmasked.' (Washington, D.C., 1907)?",black_texts_authors,Library of Congress,https://www.loc.gov/collections/african-american-perspectives-rare-books/articles-and-essays/women-authors/
P050,"Who is the author of  'Authentic Anecdotes of American Slavery.' (Newburyport, Mass., 1838)?",black_texts_authors,Library of Congress,https://www.loc.gov/collections/african-american-perspectives-rare-books/articles-and-essays/women-authors/
P051,"Who is the author of  'Appeal to the Christian Women of the South.'  (New York, 1836)?",black_texts_authors,Library of Congress,https://www.loc.gov/collections/african-american-perspectives-rare-books/articles-and-essays/women-authors/
P052,Who first used and popularized the phrase 'Institutional Racism'?,black_texts_authors,Schomburg Center for Research in Black Culture,https://libguides.nypl.org/ByAnyMeansNecessary
P053,"Which writer and activist wrote this quote in the early 20th century?: ""Disfranchisement of the negro means, without doubt, degradation of its black labor, and this in turn the certain degradation of its white labor, and this in turn inevitable industrial feebleness and inferiority, and this in turn, ultimate sectional retrogression, poverty, and a low order of civilization.""",black_texts_authors,Library of Congress,https://www.loc.gov/collections/african-american-perspectives-rare-books/articles-and-essays/suffrage/
P054,"Who is the author of 'The American Churches, the Bulwarks of American Slavery' (Newburyport, Mass.,1842)?",black_texts_authors,Library of Congress,https://www.loc.gov/collections/african-american-perspectives-rare-books/articles-and-essays/religion-and-the-church/
P055,"Who is the author of 'The Decorative Arts of Africa', which was published in 1973?",black_texts_authors,Amistad Research Center,https://www.amistadresearchcenter.org/blog/50-years-50-collections-louise-jefferson-illustrator-and-photographer
P056,"Who wrote the book 'Uganda’s Man of Work, a story of Alexander M. Mackay'?",black_texts_authors,Amistad Research Center,https://www.amistadresearchcenter.org/blog/50-years-50-collections-samuel-b-coles-an-alabama-son-in-africa
P057,Who wrote the memoir 'Preacher with a Plow' (1957)?,black_texts_authors,Amistad Research Center,https://www.amistadresearchcenter.org/blog/50-years-50-collections-samuel-b-coles-an-alabama-son-in-africa
P058,Who is the author of the book 'The Black Community: Diversity and Unity'?,black_texts_authors,Amistad Research Center,https://www.amistadresearchcenter.org/blog/higher-education-and-the-black-community-the-james-e-blackwell-papers
P059,What is the major theme of Dr. Blackwell's book 'The Black Community: Diversity and Unity'?,black_texts_authors,Amistad Research Center,https://www.amistadresearchcenter.org/blog/higher-education-and-the-black-community-the-james-e-blackwell-papers
P060,"Who wrote the study about the collective efforts to assist Black Americans to enter the professional workforce, 'Mainstreaming Outsiders: The Production of Black Professionals' ?",black_texts_authors,Amistad Research Center,https://www.amistadresearchcenter.org/blog/higher-education-and-the-black-community-the-james-e-blackwell-papers
P061,"Who is the author of the 1985 poem, ""The Present Crisis""?",black_texts_authors,National Museum of African American History and Culture,https://nmaahc.si.edu/explore/stories/the-crisis
P062,"What was the 1985 poem, ""The Present Crisis"" an anthem for?",black_texts_authors,National Museum of African American History and Culture,https://nmaahc.si.edu/explore/stories/the-crisis
P063,Who was the first Black professor for the University of South Carolina?,african_diaspora,National Museum of African American History and Culture,https://nmaahc.si.edu/explore/stories/the-crisis
P064,Who as the first Black woman to publish an autobiographical memoir? What is the  title of this memoir?,black_texts_authors,National Museum of African American History and Culture,https://nmaahc.si.edu/explore/stories/jarena-lee-and-early-ame-church
P065,"Two specific Harlem nightclubs (the Clam House and Club Hot-Cha) are featured on the 1933 A Night-Club Map of Harlem. Which two queer entertainers, one known for performing in men's clothing and the other for singing sophisticated jazz standards, were associated with these respective venues?",black_lgbtq_history,National Museum of African American History and Culture,https://nmaahc.si.edu/explore/stories/harlem-renaissance-black-queer-history
P066,"What unique factor allowed a ""vibrant LGBTQ nightlife"" to exist in Harlem with less legal persecution than elsewhere in New York City during the 1920s?",black_lgbtq_history,National Museum of African American History and Culture,https://nmaahc.si.edu/explore/stories/harlem-renaissance-black-queer-history
P067,"Which specific academic degree did Pauli Murray earn from Yale University, making her the first African American to do so?",black_feminisim,National Museum of African American History and Culture,https://nmaahc.si.edu/explore/stories/pioneering-pauli-murray-lawyer-activist-scholar-and-priest
